feature,importance
TopographyDrainage,0.05373028214523303
PoliticalFactors,0.053232663738800826
DamsQuality,0.053131638957520405
IneffectiveDisasterPreparedness,0.05212999691259253
PopulationScore,0.05208982547927556
RiverManagement,0.05180042759970391
Landslides,0.050878776010302385
AgriculturalPractices,0.050772119512794374
DeterioratingInfrastructure,0.05075014286677706
Watersheds,0.050624558458846794
Siltation,0.05035610447313533
Deforestation,0.04963910030748252
WetlandLoss,0.04928369256320857
Urbanization,0.04861332194066593
MonsoonIntensity,0.048116235820846995
ClimateChange,0.04773922060878162
DrainageSystems,0.04763719616314176
InadequatePlanning,0.04695137522089271
CoastalVulnerability,0.04648711455389714
Encroachments,0.046036206666100844
